row_index,review_text,cleaned_review,sentiment,predicted_sentiment,prediction_confidence,is_correct,issue,matched_rules,audit_note
3813,Độ bền màu: tốt sau khi sử dụng sản phẩm 1 thời gian thì bị chàm môi gây ngứa và bong da 0:07,độ bền màu tốt sau khi sử dụng san pham 1 thời gian thì bị chàm môi gây ngứa và bong da 0 07,negative,neutral,0.4045209134107973,False,product_quality,,
4068,Mẹo: bóp 1 ít kem bôi lên phần bị thâm Kinh nghiệm sử dụng: . Làm đẹp: da bị thâm Mùi thơm lắm nhưng mà dùng thấy k đỡ lâm lên mấy 0:04,mẹo bóp 1 ít kem bôi lên phần bị thâm kinh nghiệm sử dụng làm đẹp da bị thâm mùi thơm lắm nhưng mà dùng thấy khong đỡ lâm lên mấy 0 04,negative,neutral,0.4198356458381289,False,product_quality,negative_loi_hong,
3905,Độ bền màu: chê,độ bền màu chê,negative,neutral,0.42395646513146557,False,product_quality,,
1620,Màu sắc: mongr uwas kh nch kx dokf gc f mmt qohd eubh kn e cun rh ôq gin r dukwn chh 0:11 0:12,màu sắc mongr uwas khong nch kx dokf gc f mmt qohd eubh kn e cun rh ôq gin r dukwn chh 0 11 0 12,negative,neutral,0.45182816839374845,False,product_quality,negative_loi_hong,
3030,Chất lượng sản phẩm: pin sac nhanh het,chất lượng san pham pin sac nhanh het,negative,neutral,0.45244395257541425,False,product_quality,,
1462,"Mùi hương: ko mùi Công dụng: máy mác sa nhẹ, cảm giác tê tê như có luồn điện, với giá cả này thì ok, nhỏ gọn đơn giản dễ sài 0:09",mùi hương khong mùi công dụng máy mác sa nhẹ cảm giác tê tê như có luồn điện với giá cả này thì ok nhỏ gọn đơn giản dễ sài 0 09,negative,neutral,0.4605847923212901,False,no_issue,negative_loi_hong,
304,"Chất lượng sản phẩm: Ổn Tính năng nổi bật: Chống ồn, thiết kế lạ, pin tốt Mới đầu xài ngon nha, vừa chống ồn vừa pin lâu mà âm thanh ngon nữa. Nhm xài được 1 tháng đang thấy có vấn đề là hơi dựt dựt với hay tự tít tắt nhạc hong hỉu sao. Nch tiền nào của nấy hui 0:09",chất lượng san pham ổn tính năng nổi bật chống ồn thiết kế lạ pin tốt mới đầu xài ngon nha vừa chống ồn vừa pin lâu mà âm thanh ngon nữa nhm xài duoc 1 tháng đang thấy có vấn đề là hơi dựt dựt với hay tự tít tắt nhạc khong hỉu sao nch tiền nào của nấy hui 0 09,negative,neutral,0.46133763355549173,False,product_quality,negative_loi_hong,
4430,Lợi ích: giảm thâm Hương thơm: hoa dịu nhẹ Kinh nghiệm sử dụng: chưa bt trời mình ko bt hàng loại j nhưng càng sày càng thâm nha 0:56,lợi ích giảm thâm hương thơm hoa dịu nhẹ kinh nghiệm sử dụng chua binh thuong trời mình khong binh thuong hàng loại j nhưng càng sày càng thâm nha 0 56,negative,neutral,0.47420410400372764,False,product_quality,neutral_tam_binh_thuong;negative_loi_hong,negative_may_be_mild_or_neutral
3072,Giao nhanh và đóng gói kĩ. Nhưng mình lại vẫn thấy chẳng chống trộm gì cả @@. Làm theo hướng dẫn nma màn hình vẫn bị loang lỗ hic,giao nhanh và đóng gói kĩ nhưng mình lại vẫn thấy chẳng chống trộm gì cả làm theo hướng dẫn nma màn hình vẫn bị loang lỗ hic,negative,neutral,0.4792399435114118,False,product_quality,,
1144,Để đây va ko muốn nói gì thêm... trc khi đánh giá cũng ib zl cho shop 3ngay ma chưa thấy phản hồi 0:14,để đây va khong muốn nói gì thêm trc khi đánh giá cũng ib zl cho shop 3ngay ma chua thấy phản hồi 0 14,negative,neutral,0.4799743337977098,False,seller_service,negative_loi_hong,
